,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,rank,click_rate_Josh,purchase_rate_Josh,click_rate_Angkun,purchase_rate_Angkun,click_rate_actual,purchase_rate_actual,click_rate_yushan_logreg,click_rate_yushan_knn,purchase_rate_yushan_logreg,purchase_rate_yushan_knn,click_rate_fangdi_log,click_rate_fangdi_rf,click_rate_fangdi_svm,click_rate_fangdi_knn,click_rate_fangdi_voting,purchase_rate_fangdi_log,purchase_rate_fangdi_rf,purchase_rate_fangdi_svm,purchase_rate_fangdi_knn,purchase_rate_fangdi_voting,ave_Click_pred,ave_Purchase_pred
52,Y,3,2,S,3,0.14243171699999999,0.06883043900000001,0.15082036,0.019046767,0.12244898,0.06122449,0.161615816,0.2,0.034706331,0.1,0.15679568481753178,0.11244372362489985,0.12752596077561604,0.2,0.14852152668906382,0.1192850813120045,0.08315151819453052,0.07594576621431952,0.08000000000000002,0.09151225522015459,0.1433217353606079,0.07649334237663376
53,Y,3,2,S,4,0.038821141,0.018458435,0.08593565,0.012055494,0.047619048,0.011904762,0.072675619,0.1,0.017638439,0.0,0.07028724995981048,0.07675696247168477,0.13167020475871818,0.0,0.0694264545671428,0.05387765724030023,0.05849110075845418,0.07902585159829915,0.0,0.046828659157027316,0.06463524310787382,0.0371164079996886
54,Y,3,2,S,5,0.0,0.0,0.05005678,0.007456386,0.00729927,0.0,0.030878181,0.0,0.008886925,0.0,0.0298199281803234,0.04940941312886023,0.12392559573106197,0.0,0.0502438884753843,0.023027113346329023,0.03631936282102891,0.07430810483334964,0.0,0.038665391862356756,0.02752688057729591,0.017058350291839483
55,Y,3,2,M,1,0.27065690000000003,0.100416517,0.38794935,0.04685677,-7.0,-7.0,0.48682833799999997,0.6,0.110679326,0.2,0.4926557146020524,0.441933385154964,0.33362653582314644,0.6,0.4612402020664709,0.36216115724447523,0.31059054917444257,0.1980524832504566,0.24,0.2799228257341681,0.4230185844392541,0.22096188735472944
56,Y,3,2,M,2,0.252134264,0.044306704,0.23499697,0.029439416,-7.0,-7.0,0.278333744,0.2,0.058514219000000006,0.1,0.28304670132711235,0.23514974219990875,0.13298819449752805,0.6,0.311123473797446,0.20982135990446693,0.1774786569449187,0.07955321778324298,0.48,0.22409821843527944,0.26216611288175523,0.12253023496234641
57,Y,3,2,M,3,0.176663448,0.0,0.13986309,0.01869257,0.23404255300000001,0.021276596000000002,0.135546249,0.4,0.030103202000000003,0.0,0.13830757990554107,0.11830700793769519,0.13169109935534282,0.4,0.19515138571272858,0.10336792058082347,0.09031054823213766,0.07889345816473446,0.4,0.15079978606442518,0.14220607121080908,0.05594541770324028
58,Y,3,2,M,4,0.104181228,0.022955733,0.08593565,0.012055494,0.076923077,0.012820513,0.059927138,0.1,0.015263243999999999,0.0,0.06125847982263421,0.07660640210521438,0.13158888343531422,0.0,0.06696056486917526,0.04614986892408251,0.0576712316142058,0.0788310750662186,0.0,0.04854523312534429,0.07549331198196216,0.03551001938457207
59,Y,3,2,M,5,0.0,0.0,0.05005678,0.007456386,0.006622517,0.0,0.025261912999999997,0.0,0.007680996,0.0,0.0258448953333644,0.056213778940799874,0.13159085908873172,0.0,0.05234140395336056,0.019622804788619316,0.03844550070557142,0.07789522127076366,0.0,0.03709128007589374,0.026830146818541067,0.016437325373547685
60,N,1,1,S,1,0.40170151200000004,0.190768518,0.28422886,0.21313897,-7.0,-7.0,0.554754055,0.8,0.29770974699999997,0.4,0.5333426897613567,0.45001708982031324,0.620896464271151,0.4,0.5044656464052695,0.23102049284317155,0.21549373846151926,0.3191059344356902,0.16000000000000003,0.2401158382105558,0.48495383664541747,0.23374812407617268
61,N,1,1,S,2,0.328656805,0.265689966,0.17993854,0.15261473,0.372881356,0.237288136,0.33622894799999997,0.4,0.17471157899999998,0.3,0.3172474215894274,0.27229269685387797,0.13163996184183965,0.6,0.32977074570968046,0.13991196752596172,0.12197901774047022,0.05962657002638204,0.24,0.15063952532224242,0.31360646786082635,0.17557313256660798
62,N,1,1,S,3,0.155798975,0.042907017,0.123439565,0.10039103,0.17857142899999998,0.095238095,0.170768859,0.2,0.09561157199999999,0.1,0.15889537368199375,0.14496223800981758,0.11929032684309061,0.0,0.1053438483313609,0.07132984572214947,0.06948836591804744,0.05898836530248126,0.0,0.054605528115644696,0.15760636142295284,0.06983420016004924
63,N,1,1,S,4,0.039747621000000004,0.017973822,0.06714864,0.056166667,0.075949367,0.037974684,0.077255731,0.1,0.050147705,0.0,0.07132647698554673,0.10239577038760751,0.13158227891848034,0.0,0.07597095144708242,0.03258399683506736,0.049777172183380146,0.07492234943729978,0.0,0.036789379059813825,0.07268139984328856,0.03762067400461188
64,N,1,1,S,5,0.0,0.0,0.043708395,0.03379193,0.0,0.0,0.032917669,0.0,0.025688131,0.0,0.03028031578416335,0.08857797889281407,0.09937602523756242,0.0,0.053830145904818806,0.014073349720355769,0.04343907153177434,0.05896668790007066,0.0,0.026329640957700202,0.03794399091924436,0.020800138063032526
65,N,1,1,M,1,0.29595682100000004,0.13551759800000002,0.26662254,0.22845986,-7.0,-7.0,0.503341849,0.3,0.26790543,0.1,0.49660414040142736,0.40870609399498004,0.447976460545031,0.6,0.4900733392792156,0.20634707179102582,0.1968659983546009,0.23013959135493908,0.48,0.27978445969646604,0.42615222609910186,0.20165902453640666
66,N,1,1,M,2,0.191740616,0.067587907,0.17368951,0.13983968,0.188679245,0.11320754699999999,0.291796377,0.2,0.154511727,0.2,0.28626307928908235,0.2519448226379141,0.13166729360852014,0.2,0.2165685998972287,0.12117451941909073,0.11732666071658708,0.06343994013717415,0.04000000000000001,0.08850984768367406,0.2554362237317491,0.11515020353391946
67,N,1,1,M,3,0.097189916,0.055352647000000005,0.123439565,0.10039103,0.114942529,0.057471264,0.143475521,0.2,0.083630379,0.2,0.14020085537471405,0.12330665924739838,0.1315950415659829,0.2,0.14885250194479988,0.06044304784581677,0.060273605635568286,0.06889344162887989,0.16000000000000003,0.08483524136044146,0.1260432379055281,0.06492491987034626
68,N,1,1,M,4,0.0,0.018602098,0.082416885,0.061560175999999994,0.031578947,0.021052632,0.063759064,0.1,0.043589054,0.1,0.062173139848934224,0.0754663989419611,0.13166779947149768,0.0,0.06755243278276629,0.02729225651812731,0.036996174249590806,0.07572596894107825,0.0,0.029126320908780326,0.05034965069772383,0.03161989569192953
69,N,1,1,M,5,0.02594314,0.025900627000000002,0.053723257,0.037243012,0.030769231,0.015384615,0.026940762000000004,0.0,0.022253519,0.0,0.026245572911326107,0.06582910741491309,0.10645712322538936,0.0,0.0493754873142289,0.0117280126975018,0.032886850472746185,0.06223656030551768,0.0,0.02404404707481561,0.0362396455815598,0.023192252292562
70,N,1,2,S,1,0.541433056,0.24999682199999998,0.26295614,0.12580685,0.5625,0.1875,0.5392364829999999,0.3,0.252490505,0.1,0.5217722104027579,0.4923746193623799,0.6217761447922793,0.4,0.5123847369604834,0.26531944626413984,0.2891027364496778,0.372495818569978,0.24,0.2924718773540343,0.5237040921912844,0.2642273774284544
71,N,1,2,S,2,0.295596769,0.135763179,0.17100307,0.08273269,0.289156627,0.180722892,0.32239790100000004,0.6,0.144334993,0.3,0.3072780625220656,0.29680554861239633,0.1315998344458296,0.2,0.23455804845367795,0.15870323051506352,0.16568292901734677,0.07765347640640481,0.04000000000000001,0.10825034207610545,0.3055195702836155,0.15112108288310255
72,N,1,2,S,3,0.196684214,0.041673136,0.09850067,0.05014177400000001,0.180722892,0.036144578,0.162082149,0.0,0.077693166,0.0,0.15278857996863088,0.16958417748279345,0.11607157480726753,0.0,0.10761464766473222,0.08013097427741014,0.09728874905523525,0.06953555424062577,0.0,0.06662132822184907,0.17028478011285605,0.07419650633316136
73,N,1,2,S,4,0.082783278,0.0,0.054641232000000005,0.03324251,0.075471698,0.037735849,0.072907637,0.0,0.040369285,0.0,0.06831186421477188,0.1458911409881704,0.13165289167832503,0.0,0.08373277770258242,0.0363705920900474,0.0777105647279118,0.07870100342072386,0.0,0.04722769969332623,0.09247348005073557,0.0386126104544898
74,N,1,2,S,5,0.070113563,0.029399225,0.034944415,0.019874344,-7.0,-7.0,0.030981218999999997,0.2,0.020575825,0.0,0.028946444944214885,0.13019147418898047,0.10511861377198854,0.0,0.063621561618655,0.01564169313342676,0.06899704926542431,0.060653456840716206,0.0,0.03233787968239641,0.06505817528329884,0.03365344809971277
